val_loss	val_accuracy	loss	accuracy
4.1194	0.4570	0.4464	0.8452
4.0413	0.4578	0.4335	0.8486
4.1308	0.4539	0.4310	0.8489
4.1796	0.4543	0.4402	0.8461
4.0684	0.4601	0.4388	0.8457
4.0348	0.4502	0.4278	0.8504
4.0856	0.4520	0.4386	0.8467
4.0830	0.4548	0.4279	0.8496
4.1494	0.4609	0.4286	0.8493
4.1538	0.4557	0.4250	0.8507
4.1740	0.4572	0.4305	0.8511
4.1496	0.4557	0.4280	0.8512
4.1357	0.4527	0.4184	0.8539
4.1996	0.4502	0.4285	0.8496
4.2250	0.4529	0.4271	0.8506
4.1567	0.4548	0.4163	0.8538
4.3097	0.4575	0.4264	0.8496
4.2295	0.4505	0.4236	0.8530
4.2767	0.4548	0.4098	0.8564
4.2527	0.4550	0.4300	0.8496
4.2644	0.4498	0.4156	0.8551
4.2951	0.4517	0.4147	0.8564
4.2783	0.4525	0.4209	0.8533
4.2700	0.4518	0.4228	0.8530
4.2722	0.4575	0.4087	0.8568
4.2779	0.4520	0.4178	0.8538
4.3323	0.4555	0.4223	0.8529
4.3092	0.4517	0.4114	0.8569
4.3480	0.4545	0.4182	0.8528
4.3705	0.4540	0.4093	0.8579
4.3860	0.4504	0.4157	0.8548
4.2551	0.4555	0.4151	0.8552
4.3518	0.4539	0.4070	0.8593
4.3173	0.4551	0.4079	0.8580
4.4302	0.4501	0.4009	0.8598
4.4324	0.4551	0.4147	0.8552
4.4020	0.4530	0.4086	0.8555
4.4305	0.4558	0.4044	0.8601
4.4072	0.4552	0.3997	0.8614
4.4783	0.4580	0.4042	0.8610
4.4535	0.4596	0.4056	0.8588
4.3353	0.4560	0.4112	0.8562
4.4884	0.4460	0.3964	0.8608
4.4819	0.4533	0.4074	0.8584
4.4755	0.4545	0.3970	0.8602
4.4750	0.4520	0.4008	0.8603
4.6609	0.4523	0.3907	0.8637
4.5236	0.4538	0.3994	0.8596
4.5784	0.4543	0.3977	0.8616
4.5266	0.4512	0.3982	0.8602
4.5513	0.4491	0.4015	0.8604
4.5398	0.4474	0.3989	0.8614
4.6027	0.4536	0.3902	0.8635
4.5431	0.4504	0.3963	0.8614
4.6149	0.4542	0.3892	0.8646
4.6268	0.4525	0.4045	0.8595
4.5226	0.4524	0.3955	0.8622
4.6016	0.4509	0.3870	0.8652
4.6439	0.4527	0.3868	0.8643
4.6877	0.4506	0.3883	0.8644
4.5554	0.4504	0.3918	0.8646
4.6648	0.4511	0.3939	0.8616
4.7605	0.4494	0.3837	0.8678
4.6604	0.4515	0.3882	0.8653
4.7174	0.4508	0.3892	0.8648
4.6787	0.4492	0.3873	0.8651
4.7791	0.4490	0.3927	0.8625
4.6602	0.4499	0.3830	0.8660
4.6609	0.4497	0.3848	0.8664
4.6699	0.4479	0.3858	0.8644
4.7304	0.4485	0.3865	0.8654
4.7178	0.4503	0.4055	0.8605
4.8024	0.4517	0.3704	0.8710
4.7472	0.4495	0.3818	0.8677
4.7713	0.4515	0.3764	0.8691
4.7685	0.4479	0.3830	0.8653
4.7764	0.4502	0.3837	0.8658
4.7613	0.4441	0.3828	0.8674
4.7673	0.4459	0.3724	0.8710
4.8263	0.4548	0.3751	0.8703
4.8422	0.4490	0.3779	0.8670
4.8466	0.4481	0.3704	0.8706
4.8395	0.4521	0.3784	0.8695
4.7869	0.4485	0.3697	0.8706
4.8621	0.4499	0.3749	0.8707
4.8185	0.4477	0.3779	0.8696
4.9037	0.4487	0.3768	0.8692
4.8934	0.4504	0.3678	0.8721
4.9101	0.4520	0.3733	0.8684
4.9379	0.4492	0.3672	0.8726
4.9580	0.4461	0.3723	0.8701
4.9407	0.4527	0.3737	0.8709
5.0050	0.4439	0.3743	0.8693
4.9896	0.4493	0.3707	0.8695
4.9900	0.4482	0.3712	0.8709
4.9888	0.4502	0.3629	0.8728
5.0422	0.4441	0.3614	0.8759
4.9505	0.4492	0.3709	0.8695
4.9850	0.4433	0.3600	0.8752
5.0002	0.4485	0.3688	0.8717
5.0387	0.4482	0.3677	0.8714
5.0668	0.4466	0.3693	0.8725
5.0229	0.4435	0.3598	0.8755
5.0224	0.4465	0.3665	0.8727
5.0282	0.4461	0.3657	0.8735
5.0159	0.4495	0.3665	0.8725
5.0749	0.4419	0.3544	0.8763
5.1392	0.4464	0.3613	0.8734
5.0693	0.4463	0.3625	0.8726
5.0772	0.4453	0.3638	0.8732
5.0641	0.4413	0.3539	0.8765
5.0876	0.4462	0.3614	0.8743
5.0477	0.4498	0.3560	0.8770
5.1226	0.4482	0.3582	0.8761
5.1387	0.4489	0.3596	0.8757
5.1208	0.4514	0.3520	0.8769
5.1972	0.4469	0.3548	0.8759
5.2236	0.4429	0.3561	0.8756
5.1422	0.4403	0.3498	0.8787
5.1920	0.4483	0.3562	0.8755
5.1537	0.4474	0.3632	0.8754
5.1887	0.4430	0.3501	0.8778
5.2176	0.4409	0.3387	0.8823
5.1878	0.4438	0.3556	0.8746
5.2555	0.4451	0.3442	0.8807
5.1816	0.4455	0.3600	0.8753
5.2929	0.4434	0.3525	0.8785
5.2814	0.4461	0.3481	0.8777
5.3422	0.4442	0.3360	0.8824
5.3630	0.4476	0.3465	0.8784
5.3434	0.4417	0.3427	0.8804
5.3451	0.4397	0.3549	0.8779
5.2962	0.4419	0.3482	0.8779
5.3292	0.4424	0.3331	0.8850
5.3821	0.4447	0.3442	0.8808
5.4498	0.4446	0.3523	0.8779
5.3628	0.4495	0.3396	0.8830
5.3775	0.4436	0.3461	0.8786
5.3965	0.4446	0.3364	0.8834
5.3043	0.4416	0.3449	0.8810
5.5070	0.4442	0.3550	0.8789
5.3732	0.4441	0.3400	0.8811
5.3475	0.4472	0.3450	0.8798
5.3612	0.4441	0.3333	0.8838
5.4600	0.4419	0.3334	0.8828
5.4512	0.4432	0.3332	0.8842
5.4340	0.4475	0.3517	0.8789
5.4462	0.4440	0.3247	0.8874
5.4923	0.4394	0.3370	0.8835
5.5354	0.4447	0.3378	0.8824
5.5604	0.4433	0.3328	0.8856
5.4534	0.4400	0.3352	0.8835
5.5114	0.4442	0.3418	0.8824
5.4985	0.4448	0.3331	0.8848
5.5811	0.4446	0.3294	0.8851
5.5147	0.4443	0.3355	0.8832
5.5126	0.4393	0.3327	0.8850
5.5487	0.4399	0.3367	0.8854
5.5279	0.4448	0.3460	0.8815
5.5766	0.4424	0.3208	0.8888
5.6600	0.4483	0.3339	0.8832
5.5783	0.4419	0.3241	0.8876
5.5840	0.4440	0.3383	0.8827
5.5740	0.4466	0.3284	0.8871
5.6942	0.4447	0.3351	0.8837
5.6167	0.4408	0.3262	0.8865
5.7054	0.4428	0.3217	0.8879
5.6186	0.4420	0.3280	0.8853
5.6654	0.4468	0.3172	0.8894
5.6832	0.4416	0.3475	0.8810
5.6589	0.4478	0.3101	0.8927
5.6944	0.4428	0.3237	0.8876
5.6447	0.4418	0.3191	0.8900
5.7279	0.4419	0.3300	0.8853
5.6433	0.4412	0.3253	0.8879
5.7114	0.4449	0.3290	0.8862
5.7380	0.4417	0.3120	0.8927
5.7507	0.4388	0.3196	0.8872
5.6246	0.4402	0.3304	0.8863
5.7005	0.4414	0.3217	0.8899
5.7730	0.4434	0.3299	0.8863
5.7291	0.4434	0.3195	0.8904
5.7666	0.4471	0.3128	0.8906
5.7835	0.4439	0.3197	0.8895
5.8047	0.4401	0.3104	0.8918
5.7758	0.4347	0.3151	0.8916
5.8745	0.4444	0.3157	0.8916
5.8659	0.4431	0.3102	0.8939
5.8068	0.4431	0.3253	0.8869
5.8739	0.4409	0.3060	0.8954
5.8794	0.4375	0.3163	0.8886
5.8537	0.4395	0.3134	0.8911
5.8521	0.4394	0.3177	0.8904
5.8499	0.4400	0.3136	0.8922
5.9229	0.4444	0.3064	0.8940
5.8373	0.4445	0.3171	0.8897
5.8877	0.4420	0.3112	0.8930
5.9463	0.4412	0.3084	0.8939
5.9779	0.4410	0.3076	0.8942
5.9373	0.4442	0.3041	0.8959
6.0222	0.4402	0.3120	0.8918
5.9860	0.4429	0.3135	0.8920
6.0538	0.4389	0.3042	0.8960
5.9967	0.4344	0.2999	0.8973
5.9165	0.4436	0.3192	0.8884
6.0405	0.4440	0.2986	0.8960
6.0111	0.4416	0.3093	0.8932
5.9507	0.4399	0.3090	0.8926
6.1072	0.4391	0.3030	0.8937
6.0109	0.4342	0.3066	0.8946
6.0967	0.4426	0.3034	0.8963
6.0165	0.4378	0.3074	0.8940
6.0933	0.4413	0.2979	0.8983
6.0885	0.4388	0.3004	0.8961
6.0677	0.4434	0.3047	0.8938
6.0629	0.4410	0.2973	0.8960
6.1673	0.4423	0.3028	0.8952
6.1124	0.4426	0.3047	0.8954
6.0515	0.4398	0.2840	0.9033
6.0844	0.4426	0.3129	0.8911
6.0830	0.4396	0.3001	0.8977
6.2399	0.4395	0.2955	0.8979
6.2043	0.4380	0.3097	0.8945
6.1281	0.4418	0.3056	0.8938
6.1773	0.4365	0.2915	0.8981
6.2319	0.4410	0.2989	0.8942
6.2553	0.4374	0.2945	0.8985
6.2671	0.4394	0.3010	0.8971
6.2778	0.4385	0.2931	0.8973
6.2447	0.4387	0.2950	0.8982
6.3021	0.4387	0.2938	0.8990
6.2763	0.4352	0.2966	0.8971
6.3085	0.4355	0.2863	0.9016
6.3240	0.4402	0.3007	0.8971
6.3481	0.4407	0.2982	0.8956
6.2498	0.4408	0.2857	0.9018
6.2833	0.4396	0.2877	0.9002
6.3713	0.4365	0.2992	0.8971
6.3812	0.4366	0.2899	0.9003
6.3612	0.4384	0.2852	0.9004
6.3812	0.4384	0.2827	0.9017
6.3469	0.4356	0.3077	0.8939
6.4312	0.4389	0.2951	0.8982
6.4572	0.4380	0.2826	0.9023
6.3282	0.4380	0.2998	0.8965
6.4722	0.4352	0.2845	0.9008
6.4335	0.4388	0.2831	0.9028
6.4384	0.4359	0.2850	0.9012
6.5040	0.4396	0.2939	0.8995
