val_loss	val_accuracy	loss	accuracy
2.7884	0.4901	0.4579	0.8386
2.8028	0.4908	0.4504	0.8410
2.9252	0.4810	0.4440	0.8430
2.8261	0.4919	0.4500	0.8400
2.8354	0.4900	0.4519	0.8388
2.8932	0.4925	0.4445	0.8425
2.8617	0.4913	0.4362	0.8459
2.8603	0.4970	0.4458	0.8441
2.9101	0.4864	0.4428	0.8421
2.9162	0.4881	0.4435	0.8420
2.9162	0.4934	0.4449	0.8433
2.8746	0.4910	0.4423	0.8442
2.9503	0.4880	0.4287	0.8478
2.9554	0.4778	0.4296	0.8467
3.0347	0.4768	0.4303	0.8470
3.0045	0.4830	0.4250	0.8487
3.0033	0.4888	0.4211	0.8514
3.0464	0.4857	0.4222	0.8511
3.0401	0.4847	0.4189	0.8527
3.0265	0.4835	0.4192	0.8499
3.0148	0.4814	0.4135	0.8532
3.0791	0.4883	0.4087	0.8548
3.0593	0.4790	0.4184	0.8528
3.0640	0.4881	0.4134	0.8542
3.1246	0.4806	0.4085	0.8541
3.1853	0.4877	0.4071	0.8562
3.1719	0.4804	0.4137	0.8527
3.0866	0.4799	0.4105	0.8561
3.1112	0.4868	0.4011	0.8576
3.1587	0.4777	0.4046	0.8585
3.2086	0.4770	0.4005	0.8578
3.1512	0.4891	0.3917	0.8628
3.1929	0.4870	0.4010	0.8581
3.2870	0.4725	0.4017	0.8562
3.2719	0.4771	0.3991	0.8590
3.3398	0.4796	0.3920	0.8609
3.2423	0.4792	0.3901	0.8615
3.2572	0.4876	0.3886	0.8604
3.2711	0.4869	0.3928	0.8610
3.2703	0.4833	0.3870	0.8640
3.3207	0.4884	0.3886	0.8633
3.2802	0.4811	0.3841	0.8664
3.3242	0.4848	0.3965	0.8602
3.3150	0.4774	0.3870	0.8645
3.3252	0.4870	0.3716	0.8711
3.3291	0.4805	0.3721	0.8686
3.3941	0.4810	0.3648	0.8705
3.4602	0.4834	0.3790	0.8668
3.3949	0.4799	0.3589	0.8729
3.3795	0.4854	0.3729	0.8682
